,acct_id
0,2.08048489208458e+17
1,2.85738299498462e+17
2,4.10324015967931e+17
3,4.84156930539824e+17
4,5.73774350803868e+17
5,6.19727474748374e+17
6,6.25879160959013e+17
7,7.79830521881711e+17
8,8.08635496132221e+17
9,8.62068587972456e+17
10,8.73549407001291e+17
11,1.04409882563959e+18
12,1.10825865438648e+18
13,1.14943101197984e+18
14,1.46343691806454e+18
15,1.52275518729664e+18
16,1.60746167241603e+18
17,1.70042680937506e+18
18,1.86491691186808e+18
19,1.91379585224953e+18
20,2.3121377836969e+18
21,2.33297264010803e+18
22,2.53830636358851e+18
23,2.79041747260156e+18
24,2.79686346456339e+18
25,2.8224207565406e+18
26,2.84484022874967e+18
27,2.93454984205782e+18
28,2.97415212552033e+18
29,3.00610139056554e+18
30,3.13533498366877e+18
31,3.26731043298497e+18
32,3.393782123067e+18
33,3.47421748230121e+18
34,3.82267836203756e+18
35,3.88987255340883e+18
36,4.0600501012741e+18
37,4.2587074691973e+18
38,4.35460981397881e+18
39,4.43027921003096e+18
40,4.49223853061593e+18
